Dataset,Prior,Alpha,CFMethod,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
1credit,mod,0.50,CACTUS,0,0.8,1.166927856,0.1325,0.4703459228,0.5475
1credit,mod,0.50,CACTUS,1,0.66,1.213512092,0.1475,0.433558127,0.54
1credit,mod,0.50,CACTUS,2,0.52,1.149400154,0.15,0.4686589443,0.5125
1credit,mod,0.50,CACTUS,3,0.62,1.134305272,0.2375,0.4025294481,0.56875
1credit,mod,0.50,CACTUS,4,0.62,1.125863722,0.145,0.4512524506,0.51875
1credit,mod,0.75,CACTUS,0,0.84,1.180533418,0.1,0.5509252015,0.48875
1credit,mod,0.75,CACTUS,1,0.78,1.212586734,0.0875,0.5494224075,0.4925
1credit,mod,0.75,CACTUS,2,0.64,1.140244003,0.1,0.5543524982,0.4475
1credit,mod,0.75,CACTUS,3,0.78,1.129976734,0.0775,0.6109136163,0.43
1credit,mod,0.75,CACTUS,4,0.76,1.15149067,0.105,0.5451604637,0.46
1credit,mod,0.99,CACTUS,0,0.86,1.183140416,0.0725,0.591342773,0.4525
1credit,mod,0.99,CACTUS,1,0.84,1.208383209,0.0975,0.6074077461,0.46875
1credit,mod,0.99,CACTUS,2,0.76,1.160815839,0.0375,0.6771509577,0.4125
1credit,mod,0.99,CACTUS,3,0.86,1.153598679,0.035,0.6992871076,0.37625
1credit,mod,0.99,CACTUS,4,0.86,1.167915754,0.0775,0.6085680452,0.41875
1credit,mod,0.01,CausalCACTUS,0,0.38,1.194241575,0.67,0.1486524429,0.79875
1credit,mod,0.01,CausalCACTUS,1,0.34,1.160285341,0.7025,0.1357752656,0.82125
1credit,mod,0.01,CausalCACTUS,2,0.26,1.131310165,0.7975,0.09604555343,0.875
1credit,mod,0.01,CausalCACTUS,3,0.24,1.147860146,0.7975,0.06928502579,0.8675
1credit,mod,0.01,CausalCACTUS,4,0.34,1.11132625,0.7,0.1421062669,0.7925
1credit,mod,0.25,CausalCACTUS,0,0.66,1.176580807,0.45,0.2877582931,0.68125
1credit,mod,0.25,CausalCACTUS,1,0.64,1.174213281,0.46,0.2813707122,0.67
1credit,mod,0.25,CausalCACTUS,2,0.68,1.161154358,0.445,0.3026084874,0.615
1credit,mod,0.25,CausalCACTUS,3,0.48,1.149737515,0.5925,0.1908623996,0.77375
1credit,mod,0.25,CausalCACTUS,4,0.68,1.116695979,0.4275,0.2897882397,0.625
1credit,mod,0.50,CausalCACTUS,0,0.9,1.16003667,0.245,0.4275868349,0.56
1credit,mod,0.50,CausalCACTUS,1,0.82,1.155281687,0.3175,0.3582298668,0.5825
1credit,mod,0.50,CausalCACTUS,2,0.82,1.130007839,0.32,0.4041735379,0.55125
1credit,mod,0.50,CausalCACTUS,3,0.76,1.136059276,0.3575,0.3341796652,0.5925
1credit,mod,0.50,CausalCACTUS,4,0.88,1.131249833,0.2525,0.4146478801,0.5175
1credit,mod,0.75,CausalCACTUS,0,0.92,1.163824376,0.2375,0.4498552971,0.54125
1credit,mod,0.75,CausalCACTUS,1,0.9,1.165647936,0.26,0.4207689493,0.5225
1credit,mod,0.75,CausalCACTUS,2,0.92,1.138859551,0.22,0.4896823743,0.4925
1credit,mod,0.75,CausalCACTUS,3,0.9,1.159081906,0.2375,0.4785264476,0.4925
1credit,mod,0.75,CausalCACTUS,4,0.94,1.126543424,0.2025,0.460013389,0.4825
1credit,mod,0.99,CausalCACTUS,0,0.94,1.170935897,0.21,0.4703901509,0.52625
1credit,mod,0.99,CausalCACTUS,1,0.92,1.18299112,0.225,0.4573107618,0.5125
1credit,mod,0.99,CausalCACTUS,2,0.98,1.148526923,0.17,0.5521388096,0.43625
1credit,mod,0.99,CausalCACTUS,3,0.96,1.151980012,0.18,0.5475262326,0.4475
1credit,mod,0.99,CausalCACTUS,4,0.98,1.146298111,0.16,0.5040929229,0.44
2adult,min,0.01,CACTUS,0,0.12,1.073186269,0.56,0.2066230383,0.720952381
2adult,min,0.01,CACTUS,1,0.06,1.060728929,0.6514285714,0.1198450364,0.8057142857
2adult,min,0.01,CACTUS,2,0.1,1.051381441,0.72,0.1016009173,0.8523809524
2adult,min,0.01,CACTUS,3,0.1,1.053885377,0.6371428571,0.1542388177,0.7885714286
2adult,min,0.01,CACTUS,4,0.06,1.082838205,0.6657142857,0.1457635957,0.800952381
2adult,min,0.25,CACTUS,0,0.22,1.080777916,0.3371428571,0.3312538178,0.5742857143
2adult,min,0.25,CACTUS,1,0.22,1.050739401,0.3371428571,0.2881297794,0.5504761905
2adult,min,0.25,CACTUS,2,0.14,1.045587155,0.5257142857,0.2174149345,0.7295238095
2adult,min,0.25,CACTUS,3,0.16,1.063322175,0.4028571429,0.2865628356,0.6152380952
2adult,min,0.25,CACTUS,4,0.16,1.091661466,0.5257142857,0.2384880907,0.699047619
2adult,min,0.50,CACTUS,0,0.34,1.09423162,0.2685714286,0.4337872946,0.5076190476
2adult,min,0.50,CACTUS,1,0.4,1.06833344,0.1942857143,0.4334906847,0.4285714286
2adult,min,0.50,CACTUS,2,0.4,1.041924893,0.2857142857,0.4743253199,0.5285714286
2adult,min,0.50,CACTUS,3,0.3,1.065352654,0.2514285714,0.439014755,0.4933333333
2adult,min,0.50,CACTUS,4,0.4,1.095137708,0.2485714286,0.4702250852,0.4885714286
2adult,min,0.75,CACTUS,0,0.56,1.131015607,0.14,0.639375658,0.3942857143
2adult,min,0.75,CACTUS,1,0.56,1.100411987,0.1228571429,0.5912070148,0.3742857143
2adult,min,0.75,CACTUS,2,0.52,1.079895579,0.1628571429,0.6471178395,0.400952381
2adult,min,0.75,CACTUS,3,0.48,1.101809253,0.1742857143,0.5797166253,0.4152380952
2adult,min,0.75,CACTUS,4,0.5,1.119634124,0.1885714286,0.5730961888,0.4304761905
2adult,min,0.99,CACTUS,0,0.62,1.148463853,0.1485714286,0.7006280405,0.3838095238
2adult,min,0.99,CACTUS,1,0.64,1.119246421,0.1114285714,0.6796360834,0.359047619
2adult,min,0.99,CACTUS,2,0.62,1.11136679,0.09714285714,0.7625974426,0.3542857143
2adult,min,0.99,CACTUS,3,0.52,1.119367069,0.1342857143,0.6644111472,0.3647619048
2adult,min,0.99,CACTUS,4,0.54,1.141549583,0.1285714286,0.6762244817,0.38
2adult,min,0.01,CausalCACTUS,0,0.26,1.085042215,0.8085714286,0.1067559742,0.8819047619
2adult,min,0.01,CausalCACTUS,1,0.14,1.060990821,0.8885714286,0.08550584942,0.9228571429
2adult,min,0.01,CausalCACTUS,2,0.18,1.049158082,0.8771428571,0.07221580151,0.9238095238
2adult,min,0.01,CausalCACTUS,3,0.22,1.061871973,0.8314285714,0.1152896526,0.8847619048
2adult,min,0.01,CausalCACTUS,4,0.16,1.080707256,0.8714285714,0.1029443742,0.9152380952
2adult,min,0.25,CausalCACTUS,0,0.44,1.084386845,0.6657142857,0.2281519382,0.7657142857
2adult,min,0.25,CausalCACTUS,1,0.38,1.047748807,0.6914285714,0.1980211319,0.7714285714
2adult,min,0.25,CausalCACTUS,2,0.26,1.053688479,0.8028571429,0.1169890877,0.8723809524
2adult,min,0.25,CausalCACTUS,3,0.4,1.062943331,0.6971428571,0.1973776885,0.7819047619
2adult,min,0.25,CausalCACTUS,4,0.36,1.084718812,0.6885714286,0.2111477045,0.7923809524
2adult,min,0.50,CausalCACTUS,0,0.5,1.09621832,0.6114285714,0.2772947796,0.7333333333
2adult,min,0.50,CausalCACTUS,1,0.52,1.058234777,0.5742857143,0.2801537112,0.7085714286
2adult,min,0.50,CausalCACTUS,2,0.52,1.043064316,0.5685714286,0.3292877116,0.7123809524
2adult,min,0.50,CausalCACTUS,3,0.48,1.073141562,0.6257142857,0.2640764365,0.7352380952
2adult,min,0.50,CausalCACTUS,4,0.54,1.092733409,0.5485714286,0.3275898248,0.6761904762
2adult,min,0.75,CausalCACTUS,0,0.64,1.115449001,0.5028571429,0.3669513867,0.6476190476
2adult,min,0.75,CausalCACTUS,1,0.68,1.073046102,0.4485714286,0.3739425199,0.6114285714
2adult,min,0.75,CausalCACTUS,2,0.68,1.054434322,0.4457142857,0.4648027744,0.5971428571
2adult,min,0.75,CausalCACTUS,3,0.64,1.089641263,0.5057142857,0.3891703439,0.6342857143
2adult,min,0.75,CausalCACTUS,4,0.72,1.093969874,0.42,0.4734416146,0.5504761905
2adult,min,0.99,CausalCACTUS,0,0.7,1.117376219,0.4428571429,0.4210580101,0.6133333333
2adult,min,0.99,CausalCACTUS,1,0.74,1.076806387,0.3971428571,0.4545518499,0.5619047619
2adult,min,0.99,CausalCACTUS,2,0.72,1.059117398,0.4142857143,0.5107808843,0.5580952381
2adult,min,0.99,CausalCACTUS,3,0.68,1.09580931,0.4657142857,0.414614448,0.5961904762
2adult,min,0.99,CausalCACTUS,4,0.74,1.100380773,0.4028571429,0.5116931648,0.5266666667
2adult,mod,0.01,CACTUS,0,0.2,1.055561264,0.5257142857,0.1767106958,0.73
2adult,mod,0.01,CACTUS,1,0.02,1.066014707,0.6942857143,0.09682669402,0.8257142857
2adult,mod,0.01,CACTUS,2,0.04,1.095022256,0.6942857143,0.1181582863,0.8185714286
2adult,mod,0.01,CACTUS,3,0.04,1.052020779,0.5428571429,0.1288503539,0.7685714286
2adult,mod,0.01,CACTUS,4,0.1,1.047190857,0.6514285714,0.1233701699,0.7942857143
2adult,mod,0.25,CACTUS,0,0.26,1.070739397,0.3228571429,0.2947272306,0.5642857143
2adult,mod,0.25,CACTUS,1,0.2,1.067276305,0.4085714286,0.2331086133,0.6214285714
2adult,mod,0.25,CACTUS,2,0.18,1.098383765,0.4228571429,0.3071306354,0.6085714286
2adult,mod,0.25,CACTUS,3,0.14,1.060114054,0.3571428571,0.2023936087,0.6428571429
2adult,mod,0.25,CACTUS,4,0.18,1.058112625,0.4885714286,0.2335807565,0.6757142857
2adult,mod,0.50,CACTUS,0,0.4,1.0825584,0.1942857143,0.4370420027,0.4485714286
2adult,mod,0.50,CACTUS,1,0.36,1.069699973,0.2771428571,0.3838734473,0.4928571429
2adult,mod,0.50,CACTUS,2,0.34,1.118681034,0.2142857143,0.4664179984,0.4442857143
2adult,mod,0.50,CACTUS,3,0.38,1.082724443,0.2142857143,0.3516738673,0.4885714286
2adult,mod,0.50,CACTUS,4,0.38,1.077354833,0.2428571429,0.471704704,0.4942857143
2adult,mod,0.75,CACTUS,0,0.52,1.108922799,0.07428571429,0.56018804,0.38
2adult,mod,0.75,CACTUS,1,0.56,1.107854624,0.1742857143,0.56817878,0.4
2adult,mod,0.75,CACTUS,2,0.5,1.15987704,0.1257142857,0.6216350254,0.3857142857
2adult,mod,0.75,CACTUS,3,0.54,1.113887986,0.1771428571,0.4493890679,0.4485714286
2adult,mod,0.75,CACTUS,4,0.64,1.1093347,0.1771428571,0.6438334736,0.4
2adult,mod,0.99,CACTUS,0,0.58,1.136837211,0.08285714286,0.6628141203,0.3642857143
2adult,mod,0.99,CACTUS,1,0.64,1.14887915,0.06857142857,0.7379145344,0.3171428571
2adult,mod,0.99,CACTUS,2,0.54,1.191313054,0.1,0.7163716732,0.36
2adult,mod,0.99,CACTUS,3,0.68,1.17985756,0.06571428571,0.6600650242,0.36
2adult,mod,0.99,CACTUS,4,0.64,1.126972638,0.1114285714,0.7436271223,0.3485714286
2adult,mod,0.01,CausalCACTUS,0,0.26,1.056879367,0.7885714286,0.107374578,0.8528571429
2adult,mod,0.01,CausalCACTUS,1,0.04,1.078114342,0.9714285714,0.01928393297,0.9742857143
2adult,mod,0.01,CausalCACTUS,2,0.2,1.101704138,0.8457142857,0.1064086159,0.8871428571
2adult,mod,0.01,CausalCACTUS,3,0.12,1.054683686,0.9142857143,0.06452876223,0.9357142857
2adult,mod,0.01,CausalCACTUS,4,0.14,1.054875622,0.8828571429,0.07146993286,0.9342857143
2adult,mod,0.25,CausalCACTUS,0,0.46,1.069221877,0.6342857143,0.2265856715,0.7214285714
2adult,mod,0.25,CausalCACTUS,1,0.32,1.072216919,0.7485714286,0.1318915555,0.8242857143
2adult,mod,0.25,CausalCACTUS,2,0.4,1.106048129,0.68,0.2202189233,0.7728571429
2adult,mod,0.25,CausalCACTUS,3,0.28,1.065536305,0.7885714286,0.116279678,0.8314285714
