Dataset,Prior,Model,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
2adult,min,CACTUS,3,0.46,1.11068567,0.1085714286,0.6295261244,0.3771428571
2adult,min,CACTUS,4,0.54,1.122589602,0.1628571429,0.6114939011,0.3971428571
2adult,min,CausalCACTUS,0,0.84,1.135440777,0.3314285714,0.5618442777,0.520952381
2adult,min,CausalCACTUS,1,0.82,1.081996646,0.3285714286,0.5227711296,0.5161904762
2adult,min,CausalCACTUS,2,0.8,1.066199742,0.3485714286,0.5902927852,0.5095238095
2adult,min,CausalCACTUS,3,0.8,1.108685595,0.3685714286,0.5327575717,0.5161904762
2adult,min,CausalCACTUS,4,0.8,1.105686407,0.3628571429,0.5628376619,0.4923809524
2adult,mod,LatentCF++,0,1,1.126129821,0.1114285714,0.5009862151,0.3371428571
2adult,mod,LatentCF++,1,1,1.180386377,0.1057142857,0.7023176056,0.2857142857
2adult,mod,LatentCF++,2,1,1.181559023,0.1114285714,0.7337891397,0.2914285714
2adult,mod,LatentCF++,3,1,1.140571405,0.1257142857,0.5820759198,0.3171428571
2adult,mod,LatentCF++,4,1,1.161907522,0.1057142857,0.6323152905,0.2971428571
2adult,mod,Prototype C,0,1,2.072150698,0.02857142857,2.702145052,0.07142857143
2adult,mod,Prototype C,1,1,2.100767886,0.04,2.67160293,0.07428571429
2adult,mod,Prototype C,2,1,2.22603735,0.02285714286,2.900087513,0.05714285714
2adult,mod,Prototype C,3,1,1.968426631,0.03142857143,2.617899948,0.07142857143
2adult,mod,Prototype C,4,1,2.223200977,0.04571428571,2.819399011,0.07714285714
2adult,mod,Prototype D,0,1,1.82667646,0.03142857143,2.521441282,0.05428571429
2adult,mod,Prototype D,1,1,1.789261391,0.02571428571,2.557478192,0.06857142857
2adult,mod,Prototype D,2,1,1.836639533,0.01428571429,2.538118585,0.06285714286
2adult,mod,Prototype D,3,1,1.754984255,0.02857142857,2.498493967,0.06857142857
2adult,mod,Prototype D,4,1,1.777953586,0.02571428571,2.464264714,0.08285714286
2adult,mod,CACTUS,0,0.58,1.115612182,0.06571428571,0.59564217,0.35
2adult,mod,CACTUS,1,0.58,1.115118898,0.1371428571,0.5921474992,0.3828571429
2adult,mod,CACTUS,2,0.64,1.167502713,0.09714285714,0.6532441316,0.3542857143
2adult,mod,CACTUS,3,0.56,1.120569873,0.1771428571,0.4978374751,0.4071428571
2adult,mod,CACTUS,4,0.8,1.12752383,0.04571428571,0.7840275067,0.3028571429
2adult,mod,CausalCACTUS,0,0.68,1.073427455,0.46,0.3601022368,0.5971428571
2adult,mod,CausalCACTUS,1,0.58,1.075148254,0.5285714286,0.3183245843,0.6528571429
2adult,mod,CausalCACTUS,2,0.74,1.130744341,0.4028571429,0.4305354071,0.5371428571
2adult,mod,CausalCACTUS,3,0.76,1.079321436,0.3942857143,0.3884876875,0.5028571429
2adult,mod,CausalCACTUS,4,0.82,1.090202718,0.3285714286,0.5347911174,0.4942857143
3law,min,LatentCF++,0,1,1.082676964,0.03111111111,0.4061711573,0.1744444444
3law,min,LatentCF++,1,0.98,1.130806038,0.02444444444,0.5277683685,0.1677777778
3law,min,LatentCF++,2,1,1.113745712,0.03111111111,0.5554351555,0.1727777778
3law,min,LatentCF++,3,1,1.102545034,0.02666666667,0.4885017822,0.1672222222
3law,min,LatentCF++,4,1,1.141764405,0.03777777778,0.5684548661,0.165
3law,min,Prototype C,0,0.84,2.729187,0.008888888889,2.36192473,0.05333333333
3law,min,Prototype C,1,0.96,3.06075885,0.002222222222,2.724031907,0.05833333333
3law,min,Prototype C,2,0.82,2.80856036,0.02,2.278583342,0.06833333333
3law,min,Prototype C,3,0.9,2.897120158,0.01777777778,2.438138046,0.06
3law,min,Prototype C,4,0.84,2.990156276,0.01555555556,2.53885334,0.05666666667
3law,min,Prototype D,0,0.98,2.069109304,0.02666666667,1.795370372,0.09333333333
3law,min,Prototype D,1,0.98,2.028461946,0.02222222222,1.785535229,0.09222222222
3law,min,Prototype D,2,0.96,2.070036547,0.01333333333,1.918260661,0.09611111111
3law,min,Prototype D,3,0.96,2.244360392,0.02666666667,1.930847278,0.07666666667
3law,min,Prototype D,4,0.98,2.049441251,0.01555555556,1.869022824,0.08944444444
3law,min,CACTUS,0,0.64,1.058817382,0.08666666667,0.4628949082,0.2155555556
3law,min,CACTUS,1,0.52,1.058241357,0.03333333333,0.5098848739,0.155
3law,min,CACTUS,2,0.62,1.051556127,0.07333333333,0.4942553381,0.1783333333
3law,min,CACTUS,3,0.62,1.036567878,0.04888888889,0.4615117844,0.1711111111
3law,min,CACTUS,4,0.66,1.069520719,0.06888888889,0.5379239862,0.1861111111
3law,min,CausalCACTUS,0,0.8,1.048595825,0.2822222222,0.3224757086,0.3361111111
