Dataset,Prior,Component,CFMethod,BootstrapID,validity,lof_context,compactness,n_proximity,causal_compact_val
2adult,min,full,CausalCACTUS,4,0.8,1.105686407,0.3628571429,0.5628376619,0.4923809524
2adult,mod,baseline,CACTUS,0,0.58,1.115612182,0.06571428571,0.59564217,0.35
2adult,mod,baseline,CACTUS,1,0.58,1.115118898,0.1371428571,0.5921474992,0.3828571429
2adult,mod,baseline,CACTUS,2,0.64,1.167502713,0.09714285714,0.6532441316,0.3542857143
2adult,mod,baseline,CACTUS,3,0.56,1.120569873,0.1771428571,0.4978374751,0.4071428571
2adult,mod,baseline,CACTUS,4,0.8,1.12752383,0.04571428571,0.7840275067,0.3028571429
2adult,mod,causal,CausalCACTUS,0,0.58,1.115329011,0.2428571429,0.6034804543,0.3957142857
2adult,mod,causal,CausalCACTUS,1,0.58,1.111930251,0.3028571429,0.5847230714,0.4542857143
2adult,mod,causal,CausalCACTUS,2,0.64,1.161958256,0.2457142857,0.6474458537,0.4157142857
2adult,mod,causal,CausalCACTUS,3,0.58,1.103780369,0.32,0.4865662278,0.4614285714
2adult,mod,causal,CausalCACTUS,4,0.78,1.12793123,0.2085714286,0.7870304964,0.3671428571
2adult,mod,phase,CausalCACTUS,0,0.72,1.075700275,0.3057142857,0.3835186316,0.5414285714
2adult,mod,phase,CausalCACTUS,1,0.58,1.076387143,0.4371428571,0.3200520383,0.6285714286
2adult,mod,phase,CausalCACTUS,2,0.76,1.140698284,0.26,0.4498212762,0.4857142857
2adult,mod,phase,CausalCACTUS,3,0.78,1.094461285,0.2428571429,0.4031347903,0.4742857143
2adult,mod,phase,CausalCACTUS,4,0.82,1.093344476,0.1885714286,0.5369913642,0.4485714286
2adult,mod,full,CausalCACTUS,0,0.68,1.073427455,0.46,0.3601022368,0.5971428571
2adult,mod,full,CausalCACTUS,1,0.58,1.075148254,0.5285714286,0.3183245843,0.6528571429
2adult,mod,full,CausalCACTUS,2,0.74,1.130744341,0.4028571429,0.4305354071,0.5371428571
